gene,state,n_restarts,BS_min,BS_median,BS_max,BS_restart_fold,BF_min,BF_median,BF_max,BF_restart_fold,best_seed,best_nll_per_cell
Capn2,3,3,6.379973408559696,6.833322823839705,7.353623733407561,1.1526104048555386,1.749373943999616,1.938368034361375,1.9541590564222253,1.117061942716722,202,3.504200869952013
Capns1,2,3,6.094678667210321,6.32351449974632,6.500664356728516,1.0666131410179864,1.608131498340052,1.6081533111810768,1.6393368685683096,1.0194047378964148,101,3.2883680986435317
Capza2,2,3,2.6106930487552993,2.667191366260176,3.1911503505235683,1.2223383947971262,1.2088369198034652,1.36498151594974,1.4104018894497994,1.16674289670033,101,2.250739642808722
Cast,2,3,3.1062126575792064,3.1911614815133245,3.2404302845342046,1.0432094134403531,0.8289089531719275,0.8436257085207838,1.119050019602784,1.3500276662721449,303,2.160041087678144
Cat,2,3,2.507177547637293,3.0525871638285507,3.5360723383074744,1.4103797083057754,0.8674110111155016,0.9314229797375604,1.1457967056781224,1.3209386219395731,101,2.2495797445672054
Cav1,2,3,8.51275865646872,9.334833658052451,9.695142664255533,1.138895516189495,1.4763723475078605,1.6273351190842311,1.825078437248564,1.2361911548460827,303,3.651798044730964
Cbfb,2,3,2.78266309801255,2.903413630420567,2.9152277291723645,1.0476394829307565,0.9715712056449082,1.0228478718011644,1.0254053798687097,1.055409396564061,303,2.275055102581296
Cbx5,2,3,4.939065124932379,5.401907504062244,7.031668379435003,1.4236840781748699,0.7256791567924281,0.7535643221279225,0.8109609099840671,1.1175199155072781,303,2.4985667956094106
Ccdc104,3,3,3.948612554871985,4.403412291668799,4.572233126687208,1.1579341004337764,1.2888822707497771,1.4060452118900837,1.4415307753573543,1.118434792743931,303,2.7872331567675843
Ccdc109b,2,3,3.9711119325621773,5.133589561257426,5.970907755800939,1.5035858613908384,0.5146702428387753,0.6595836606220469,0.6713117923488995,1.3043532275076442,303,2.277100638662391
Ccdc50,2,3,1.9913830458521093,2.3689499480863443,2.791240677959024,1.4016593561810993,0.9267136160086238,1.2344799204347514,1.2783139747325765,1.3794056250498437,101,1.9829135535569047
Ccdc55,2,3,3.102288550623103,3.371568706397388,3.502371116081261,1.128963685656449,0.7738160916719673,0.7942766283096073,0.8206814075334914,1.060563894142164,303,2.188148851738985
Ccdc80,2,3,14.516249885479619,14.530666268143131,17.026106041000663,1.1728997623574677,1.2720594369919958,1.35935015207079,1.476752405483654,1.1609146259515122,101,3.9396668423829575
Ccl2,2,3,48.30818977899555,58.10169110946629,58.94487450178668,1.2201838812725698,0.6312247580393142,0.7007158538988377,0.7033042589293269,1.114189914086867,101,4.743014331622858
Ccl8,2,3,35.20236382907549,36.574177123981016,44.54498475840445,1.2653975447413677,0.2700468459576585,0.2716301116676921,0.3080378827415368,1.1406831346211503,101,2.8484012789294715
Ccm2,2,3,1.7772570818936053,1.8863064241803686,2.0641745849581095,1.1614383793923633,1.160858335290431,1.264447841110597,1.340736802175388,1.1549529872996553,303,1.9225776299237283
Ccnd1,2,3,7.961590706379368,10.138773321699661,10.942748855581147,1.3744425277743897,0.4731083226759808,0.516938089882564,0.5337538629451861,1.128185316897796,303,2.5807162071221366
Ccnd3,2,3,2.435545306075234,2.759191144712052,2.9489845528452454,1.2108107968631445,1.002656704546535,1.13908676617857,1.1536763219464934,1.1506194659798927,101,2.2751456332172086
Ccne1,2,3,14.271048557000416,17.652908197198865,19.00814278897236,1.3319373634706222,0.40131302611325004,0.41336682916561857,0.47729576620538267,1.1893353446012749,202,2.950182175214036
Ccng1,2,3,7.6150578959613275,9.548426882403426,10.534589330735221,1.3833892630445104,1.5065036408847796,1.660041350184043,2.375289246612943,1.5766900139835838,101,3.7118783895537777
Cct6a,2,3,4.574463824465663,4.85129635554846,5.850739070754894,1.2789999648621797,1.3510551488316023,1.4133073530174332,1.573134093967102,1.1643744486134073,202,2.9937418005261924
Cct8,3,3,9.636279022317575,10.645490478262573,10.775943548130263,1.1182681119105444,1.7948215226261022,1.9744097971735206,2.1090938385502103,1.1750994803451427,202,3.8659122050750034
Cd164,2,3,4.3484414465114325,4.476920654894698,4.884100104546577,1.1231840567762228,1.612136055533442,1.775373501460826,1.9661255417703611,1.2195779227329464,202,3.0052753917044086
Cd248,3,3,7.3268354918610665,7.97470709405153,8.908458623763122,1.2158671548800275,1.2257298370833436,1.2691349714092819,1.269644224575035,1.0358271343024388,202,3.269976505606826
Cd44,2,3,19.185014327709524,24.27653407897608,26.192104451567307,1.3652376800020014,0.9633614418563026,1.0193881603004822,1.209576406601717,1.2555790112078624,303,4.023115953486645
Cd81,2,3,18.571543150956817,19.84749501557669,20.336029662012102,1.0950102259522994,1.6583520372297977,1.8791811142692338,2.0928298724504666,1.2619937295982369,101,4.368973629376345
Cdc16,2,3,3.2275164891765153,3.4112839040045673,4.2873672024583405,1.328379643244593,1.4636770960487262,1.7981134625088635,1.999438405265227,1.3660379127765385,101,2.6888160685486966
Cdc42,2,3,6.571260307132241,7.540879097940807,7.748215434355304,1.1791064532850164,1.6854762686241598,1.9239965016699876,2.0929594889570793,1.241761469988269,101,3.48929996399086
Cdc42bpa,2,3,3.3463398775597866,3.3475140208872176,3.826066224507037,1.1433585243878681,0.7052752273194798,0.7229653747553524,0.7992105485072223,1.1331895940039747,303,2.1371348253617914
Cdipt,2,3,2.4994030082063534,3.0771365826792714,3.84200192335715,1.5371678399772295,1.1984970611397767,1.2981973968057456,1.4040346710966587,1.171496131798116,101,2.4869900340014537
Cdk1,2,3,18.657860296209176,20.00193977511122,20.95006630774686,1.122854709765589,0.3143804849850518,0.32072854111786253,0.3234436686311591,1.0288287094109492,303,2.4068177148976755
Cdk4,3,3,9.322397510063295,9.373325754176559,9.607984135834844,1.0306344613028209,2.0631458088512744,2.1333009581592557,2.469210720761971,1.196818329644276,202,3.91104629807617
Cdk5rap3,2,3,2.9325805119069464,3.8453413147386133,4.305950567539362,1.4683145271054692,0.5979272699112403,0.6397253784029179,0.798546145300666,1.335523876372467,101,2.1415930908905336
Cdk7,2,3,3.8477413328897514,4.320935300612734,4.531999415746483,1.1778337012958293,1.036272803224632,1.0934940375825994,1.1343024315385137,1.0945982833949102,303,2.6201792716224204
Cdkn2b,2,3,14.02244818225298,18.155920724626924,20.635868341848884,1.4716309216222276,0.4839569565908662,0.6108558558605198,0.6612036194225982,1.366244684403979,202,3.222617156306021
Cfl2,2,3,2.9352514595093147,3.5611194445277383,3.5652887113940444,1.2146450689407213,1.333213596049169,1.5647444881591142,1.578720208174321,1.184146495994853,202,2.49020823174143
Chmp2b,2,3,3.121794985369303,3.549006241815562,3.980796757608179,1.2751627753470998,0.6655529093668946,0.821731301851815,0.8605799012926902,1.293030034398489,202,2.251810486221416
Chmp4b,2,3,3.6742509938943977,4.1685439842623415,4.690098542783779,1.2764774509355628,1.0828681032056127,1.1320698500043695,1.3750235465143745,1.269797810503324,101,2.7024956017622292
Chmp5,2,3,2.129249225106127,2.63038571305225,2.8388032641918244,1.3332414217740678,1.1010370108202656,1.2089710824798547,1.2411171830962646,1.1272256707988773,202,2.2554399167166865
Chst12,2,3,3.942245827284942,4.444026327942141,4.990309200652414,1.2658543934814135,0.684976049850665,0.6863155847714171,0.8372297644171447,1.2222759680424933,101,2.3623122312991782
Chsy1,2,3,2.0124327322786204,2.0330915461193544,2.1776882862086953,1.0821173057262692,1.1895609039490436,1.3895508920291322,1.4040667265755251,1.1803235310730003,303,2.0759688052106906
Cib1,3,3,6.489185155792854,6.8407515152112826,7.521979091007777,1.1591561822354468,1.655256707752734,1.6559927191735466,1.8548188784646433,1.1205626715041956,101,3.435530781532348
Ckap4,2,3,5.15097525923925,5.176499411802517,5.259894140840327,1.0211452930987603,1.447399586741288,1.456157993506439,1.6012186196416678,1.1062726798524876,202,3.113852193088251
Clic1,2,3,7.833231049896822,8.15176703408964,8.202304724098683,1.0471164034165343,1.3383135029353341,1.4496482670620832,1.4827316438054006,1.1079105460367193,101,3.455987195917392
Clint1,2,3,2.541118359397048,2.5827721004371815,3.2017526945879378,1.2599777899946556,0.8073791027046178,0.8611704700215062,0.8877831357155347,1.099586467796322,101,2.006103714254855
Cln5,2,3,3.535666422917047,3.689495073807817,3.9081590210213357,1.105352868044879,1.461940978986809,1.468194517202646,1.482002423230838,1.0137224720644553,101,2.603529234751866
Clns1a,2,3,2.1234590828237017,2.3053915958818645,2.816663716767281,1.3264506670040375,1.0036074553455434,1.159425530859545,1.2339273626223524,1.2294920250443033,303,2.1821332197058627
Clpp,2,3,2.851867940935219,3.329356009509239,3.4203576134759324,1.1993394099287387,1.1580855133914356,1.1766936873404457,1.3426967836635524,1.1594107413808203,303,2.536366287732391
Clptm1,2,3,2.7991939160705983,2.8472455558772545,3.6121547480605103,1.2904267644062029,1.279396388058859,1.2932284988009322,1.3473972282486284,1.0531507207808695,202,2.4494790036586185
Clptm1l,2,3,4.091667921241102,4.121557252199437,4.585950749980669,1.1208022836295177,1.567749478279466,1.5933479887212971,1.6750083652474532,1.0684158333037361,202,2.8910476764897566
Cltc,2,3,4.080847621548559,4.229931150880541,4.5881344395371695,1.1243091791298276,1.2219557956291278,1.4888580551693047,1.5333957245492418,1.2548700452455959,101,2.824522133183414
Cmtm3,2,3,3.211438831321126,3.3146516281272564,3.7142376265382606,1.1565649609493862,1.0209209932481222,1.047882513714264,1.2822609677290708,1.255984523983075,303,2.4754991687015
Cnn3,2,3,4.866967851344482,4.897024295706529,5.238016614487031,1.0762381783639783,1.6422661671981795,1.6747425052513365,1.8546943448800175,1.1293506387239622,303,3.0517098180611164
Cnot4,2,3,3.3585210783205173,3.6979791742364028,4.224505446406829,1.2578469355682473,0.6262331332138171,0.6444921818897942,0.6644126391182317,1.0609669209108723,303,1.9509373186753245
Cnpy2,2,3,3.112721720457861,3.4456077591249836,3.9999582953209165,1.2850356230150084,1.2667904166178934,1.2738845127202099,1.2860332840751239,1.015190253419035,202,2.502268543664205
Cnpy4,2,3,2.608058000063122,2.7027458121224956,3.0332798969317087,1.1630415799258662,1.2286120742711952,1.2818108271443571,1.308062022372859,1.064666423003203,202,2.3947181756385794
Col12a1,2,3,12.33810515610849,12.418663307244673,13.702875142013198,1.1106142287358463,1.1482268252583712,1.1898411567276779,1.2022643613830752,1.0470617259029327,101,3.683887592622814
Col4a1,2,3,20.360672960540445,21.47362649356683,23.77270657119935,1.1675796088504307,0.8066181211118362,0.8694213019122918,0.932919766246099,1.1565817105127387,101,3.8887406587222793
Col4a2,2,3,7.823382343065031,10.137638769734266,12.345366234381745,1.578008806552218,0.8875960452572621,1.1866799852131715,1.192262168449045,1.3432486262413192,202,3.2528593853343333
Col6a1,2,3,11.670690384686297,15.695838484411127,16.33187663074122,1.3993925031351273,0.7886543245240145,0.8755244896818694,1.0177809626122045,1.2905286016487356,101,3.410965533873751
Col8a1,2,3,11.769090605858189,14.27283107658231,17.143131235998286,1.4566232693854113,0.4566805865990299,0.48533382774468803,0.7624505137927248,1.6695487747154094,101,3.045339137472986
Colec12,2,3,2.9946295463520576,3.1751739915449484,3.4668725401194407,1.1576966320734567,1.1415710521762086,1.2390523006318037,1.2617674686210205,1.1052903507106966,101,2.445134716186137
Commd1,3,3,3.3641524938953533,3.480866301684424,4.20053479070817,1.2486160476763553,1.0660343201896616,1.2045123006105685,1.3120289247281776,1.2307567400782653,202,2.387257256666442
Commd3,2,3,4.2809211951235175,4.5374725051723,4.593110294561282,1.0729256823959725,1.6488240745797897,1.7615419084658765,1.8437184353338367,1.1182020348676172,101,2.967406656449671
Commd7,2,3,2.6683936362867327,2.865261680503248,3.1044330112179397,1.1634089397462317,0.861181672522524,0.88640245202267,0.9472866851982015,1.0999847249691967,101,2.1796374282716147
Commd8,2,3,2.5219193196393666,2.5445130340374655,2.9751435666392476,1.179714015222617,0.849715913368835,0.8567876661713246,0.8628163362076972,1.015417414965107,303,1.9480438203684194
