gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
B2m,2,202,5.780363198031326,1.6214620164986209,0.0890698190137336,1286.687701509431,3.1154665896112133,413,93,3.183934367063068e-10,2.772897381189308,1.780006909797477,18.204393300143654,105.22800507463842,,,,,stable_K2,0.7619551273383931,0.2099067795780546
BC004004,2,303,4.036594035077306,1.246836731167891,0.0854797351517279,1099.197078262407,2.687523418734492,409,72,1.99090086698814e-12,2.777697630751873,1.3633779141840596,14.586342937945885,58.87914489690434,,,,,stable_K2,0.606015074109041,0.09580958788500406
BC031181,2,202,3.441937001148689,1.557073974866809,0.0951118559111955,1078.3573958276231,2.6626108538953663,405,72,1.569564991587233e-13,2.772897381189308,1.720736408183065,16.370976677404176,56.347870370899656,,,,,stable_K2,0.5368029170363181,0.19230924590998694
Bad,2,303,2.46356781472814,1.0827456501016162,0.0746419278756884,821.8645568816924,2.0495375483333973,401,70,-1.31139289226911e-17,2.777697630751873,1.1700828930102654,14.505863941575342,35.73617953129049,,,,,stable_K2,0.39156452161675787,0.03452644764024547
Bag2,2,202,6.592441775446715,0.7455239031424882,0.0832651413064292,1072.8112959664277,2.635899990089503,407,87,1.5185035342940681e-13,2.772897381189308,0.8132383055717184,8.953613618438945,59.02617645940553,,,,,stable_K2,0.8190463027864627,-0.12753842754772435
Bag3,2,101,5.32059394751579,0.6285102277822854,0.0626423364527271,903.4237714568816,2.322426147704065,389,74,1.171695411511459e-12,2.7720772594232392,0.6705127105952212,10.0333139434636,53.383189441118205,,,,,stable_K2,0.7259601160789775,-0.20168765062198996
Bak1,2,303,2.701056029569924,1.1461620215796735,0.0778943793227656,952.659815225528,2.329241602018406,409,78,-6.5412024167572894e-18,2.777697630751873,1.2429834455817357,14.714309704303574,39.744174947768414,,,,,stable_K2,0.4315335931029117,0.05924601388299404
Bax,2,202,11.38767218688899,1.605408614948282,0.1015053979475541,1610.3371761189087,3.899121491813338,413,191,2.5558009792017115e-14,2.772897381189308,1.786776026568241,15.81599252266136,180.107338158355,,,,,stable_K2,1.056434956764843,0.20558558915929273
Baz1b,2,303,3.656274296369592,0.5756576351656854,0.0583931730622792,748.5371924794356,2.0014363435279026,374,70,5.5497969809470495e-18,2.777697630751873,0.6113566923020622,9.858303719027518,36.04466249368507,,,,,stable_K2,0.5630387693733832,-0.23983573075117542
Bbip1,2,101,3.744352164149756,1.0032838274981934,0.0901136788487341,959.8071348367408,2.405531666257496,399,70,2.0341363646566323e-15,2.7720772594232392,1.1026474452640995,11.133535333545945,41.68787712080053,,,,,stable_K2,0.5733766882910771,0.001423811663420341
