gene,state,n_cells,mmax_cdf,max_abs_cdf_difference,mean_abs_cdf_difference,total_variation_empirical_vs_fit,nll_recomputed,nll_per_cell_recomputed,fsp_boundary_mass_cdf
Cltc,2,413,96,0.05995273556468894,0.0069279449863315,0.1096397965349908,1166.52764100475,2.824522133183414,1.4958477476079197e-16
Cmtm3,2,413,83,0.053158666369106544,0.002586877259150364,0.10666189673666318,1022.381156673726,2.4754991687015155,2.1164917510379392e-17
Cnn3,2,413,92,0.058798498605144245,0.006603685426680467,0.11589729781374038,1260.356154859241,3.0517098180611164,1.2634119664357373e-14
Cnot4,2,371,70,0.036739086011919664,0.0027049680711331995,0.055182727424062245,723.7977452285454,1.9509373186753245,1.0148542259833363e-20
Cnpy2,2,407,70,0.03684198081398893,0.0024061926424695833,0.07985810687004627,1018.4232972713316,2.5022685436642056,7.358422718246491e-16
Cnpy4,2,405,71,0.02920155517734435,0.0029733006612485393,0.07485804541880203,969.8608611336246,2.3947181756385794,-1.3234579568723512e-17
Col12a1,2,413,180,0.054215874605339165,0.006460207971553903,0.15508794183585595,1521.4455757533615,3.6838875926231514,1.1866716957225232e-11
Col4a1,2,412,236,0.06221379127327764,0.009610279096867982,0.14284911338542117,1602.1611513935788,3.888740658722279,1.7395107625047035e-11
Col4a2,2,410,119,0.0645292717400775,0.007205455878216773,0.12851013516222226,1333.6723479870766,3.2528593853343333,2.2363462817757718e-12
Col6a1,2,411,139,0.07177322448413215,0.010139851530103166,0.1488184108283252,1401.9068344221118,3.4109655338737515,2.7856362059078053e-09
Col8a1,2,408,121,0.05817350863342163,0.005757761907156451,0.11735411886820309,1242.4983680889784,3.045339137472986,1.6675287531586975e-09
Colec12,2,405,70,0.027123477757040382,0.003177615003666855,0.09492404705580347,990.2795600553854,2.445134716186137,1.7910167614100276e-15
Commd3,2,413,99,0.04469646888354614,0.005927351642346656,0.11181112439592149,1225.5389491136928,2.967406656449619,2.5430691733002123e-16
Commd7,2,409,70,0.018745030204812774,0.0016414824692319112,0.06759447347468206,891.4717081630902,2.179637428271614,-3.595898221870153e-18
Commd8,2,411,72,0.045371017528879454,0.004168267509319027,0.10125680199147463,800.646010171419,1.948043820368416,3.538409879106282e-18
Comt,2,409,80,0.03150480034507552,0.003017177459595354,0.070173998235314,1171.7073479598732,2.8648101417111813,5.375774891595791e-13
Copa,2,411,71,0.028059805870048846,0.0027597952824050154,0.06986769053710057,1061.28690699428,2.5822065863607784,1.0728127608345433e-15
Copb1,2,404,90,0.03184719057462859,0.004567729071061925,0.09777134000455365,1071.1376522881765,2.651330822495486,2.2510673086136333e-17
Cope,2,410,70,0.08841437944559394,0.011705898116021655,0.13287445697750241,1022.9644360938128,2.495035209984909,8.123639807363222e-14
Cops3,2,407,70,0.030846899786740267,0.0015589293951307934,0.04982200101785249,841.9036258272799,2.068559277216904,3.984423398382838e-18
Cops5,2,413,98,0.03522334208464384,0.004125083349458971,0.11051096432267403,1345.3278483340303,3.257452417273681,1.7018294692304062e-10
Cops6,2,409,70,0.08706160999025436,0.012993594412957417,0.1488791288166013,986.6770253435444,2.4124132648986416,2.5606892504031627e-14
Coq10b,2,403,70,0.027692418838600463,0.002779577335694785,0.07314328627085599,806.1213447675068,2.000301103641456,-2.7096953247374805e-20
Coro1b,2,375,70,0.02206100813348938,0.001937324376855272,0.09458718174470317,781.1474227253049,2.0830597939341464,1.1006361677611954e-17
Cox5a,2,413,119,0.0439173871515125,0.008411141594130691,0.13107523138766117,1379.2867717721924,3.3396774134919913,2.341081273356398e-14
Cox6a1,2,413,300,0.06607541373448486,0.00808907739274159,0.20563597725174249,1818.5835596645306,4.403350023400801,-6.852890805031685e-18
Cox6c,2,413,113,0.07162093814880449,0.007337972821424956,0.13967103439769393,1399.2679018512133,3.3880578737317513,5.700260942060859e-12
Cox7a2l,2,413,70,0.07270594098023331,0.011942240623944835,0.12672213725270326,1078.0738055136865,2.6103481973697007,1.1181718628952908e-11
Cox8a,2,413,195,0.0473194743177911,0.004999135370554435,0.16292665092662062,1636.286050632304,3.9619516964462567,3.2861605458582824e-14
Cpe,2,411,98,0.045876799614952835,0.005899911705825607,0.09360289067202868,1269.319743611683,3.0883692058678416,1.6408823799127416e-09
Cpsf2,2,395,70,0.02638158848025496,0.0022560624655858954,0.06479235915143905,797.6928869779158,2.0194756632352298,6.9275276810921505e-18
